dataset,train_loss,train_acc,val_loss,val_acc,time_elapsed_sec,total_time_elapsed_sec,model_index,arch_hidden_layers,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_batch_size,arch_random_seed
Jasmine,0.089867811839327,0.9706652697747512,1.3625665858200904,0.7928870292887029,4.89397931098938,71.80405688285828,23,"[220, 446]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.004085721389462258,64,13
Jasmine,0.4423530706252772,0.8030382399161865,0.45326680368958155,0.7635983263598326,2.048222541809082,73.85328197479248,24,"[398, 177, 62, 280, 134]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.007390109635467983,128,42
Jasmine,0.7029534174298167,0.4939759036144578,0.6926960349082947,0.5334728033472803,0.9065070152282715,74.76078844070435,25,"[51, 234, 425, 69, 258, 338]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.sgd.SGD'>,0.008865533112019826,512,42
Jasmine,0.0719803924988926,0.9743321110529073,0.8952993324112194,0.7761506276150628,14.344930410385132,89.10771894454956,26,"[97, 491, 328, 212]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.0077454355818943445,32,42
Jasmine,0.06561155916197003,0.9779989523310634,1.1169266925197265,0.7887029288702929,4.195313453674316,93.30503106117249,27,"[332, 431]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.002975467558695421,64,13
Jasmine,1.077456928598375,0.5259298061812467,0.7254115894249792,0.5334728033472803,2.117382764816284,95.42348766326904,28,"[406, 268, 355, 259, 428, 388]",<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.adam.Adam'>,0.009908614154187409,128,2024
Jasmine,0.3469262880108755,0.8737558931377685,0.5857751369476318,0.7573221757322176,1.516350269317627,96.94454216957092,29,"[171, 368, 206, 152]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.004049954662887623,1024,42
Jasmine,0.6955553189567898,0.4939759036144578,0.6915925741195679,0.5334728033472803,0.9973626136779785,97.94392466545105,30,"[229, 449, 197, 240, 177, 311]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.sgd.SGD'>,0.003218511069023923,512,1337
Jasmine,0.062474502208596315,0.9811419591409115,1.6307010062070073,0.7824267782426778,4.503340244293213,102.44976615905762,31,"[309, 384, 14, 275, 314, 147, 242]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.002288899063162958,64,42
Jasmine,0.483683114310345,0.7841801990570979,0.5258233948731522,0.7719665271966527,5.570544481277466,108.02371287345886,32,"[484, 272, 157, 138, 337, 216]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.007490016253197426,64,1337
Jasmine,0.6949127332086398,0.49869041382922996,0.6929358243942261,0.5460251046025104,1.4762251377105713,109.50293850898743,33,"[414, 420, 44]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.sgd.SGD'>,0.003283006251064056,512,42
Jasmine,0.19567024379953032,0.9235201676270298,0.7319573344795275,0.7698744769874477,5.413947105407715,114.91939425468445,34,"[71, 83, 147]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.0032907542627263354,32,42
Vehicle,0.24264273334432532,0.8907407407407407,0.7056381316745982,0.8088235294117647,2.640559196472168,2.640559196472168,1,"[239, 80, 249]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.006753852934134982,32,777
Vehicle,0.5038390221419158,0.7555555555555555,0.5730171764598173,0.7573529411764706,6.327390909194946,8.96963119506836,2,"[304, 115, 453, 186]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.006063468423911995,64,42
Vehicle,1.3782055139541627,0.3851851851851852,1.379896640777588,0.375,0.5863466262817383,9.557976245880127,3,"[96, 144, 100]",<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.0076464133663801045,512,777
Vehicle,2.2050435543060303,0.26296296296296295,1.698852300643921,0.33088235294117646,0.32187795639038086,9.880853414535522,4,"[401, 434, 199, 86, 489]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.adam.Adam'>,0.008123512681279681,1024,42
Vehicle,0.1427703279863905,0.9574074074074074,0.7282097887466935,0.8088235294117647,0.7880809307098389,10.671437740325928,5,"[263, 346, 386]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.005468048924925099,128,13
Vehicle,0.24316967924435934,0.8944444444444445,0.5597119331359863,0.8235294117647058,0.7744088172912598,11.44884705543518,6,"[185, 20]",<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.005264747576070654,512,2024
Vehicle,0.4168928861618042,0.7648148148148148,0.6698049902915955,0.75,0.5896353721618652,12.03948163986206,7,"[309, 83, 485, 446, 253]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.adam.Adam'>,0.008089140927854094,1024,13
Vehicle,0.4473990296875989,0.8240740740740741,0.4688739776611328,0.8088235294117647,0.7520484924316406,12.794880390167236,8,"[133, 109, 293, 137, 494]",<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.0058503518049408485,256,13
Vehicle,1.38196770173532,0.43703703703703706,1.3871472372728235,0.4264705882352941,3.249682903289795,16.04656457901001,9,"[199, 16, 474, 69, 498, 290]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.004778515998287121,32,42
Vehicle,1.4321780955349956,0.24444444444444444,1.3864164352416992,0.33088235294117646,0.5785999298095703,16.62766671180725,10,"[187, 461, 32, 248, 421, 24, 148]",<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.adam.Adam'>,0.006560148801328762,512,2024
Vehicle,1.2912765617723818,0.4425925925925926,1.3123012781143188,0.4117647058823529,0.8067562580108643,17.43659019470215,11,"[117, 67]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.006994279750147955,512,777
